言う,"Verb -- Common reading: いう<br/>Appears 18 times<br/>Word has 6 distinct definitions<br/>いう<br/>to say, to utter, to declare, <br/>いう<br/>to name, to call, <br/>いう<br/>to go (e.g. ""the alarm went ping""), to make a noise, "
聞く,"Verb -- Common reading: きく<br/>Appears 10 times<br/>Word has 8 distinct definitions<br/>きく<br/>to hear, <br/>きく<br/>to listen (e.g. to music), <br/>きく<br/>to ask, to enquire, to query, "
思う,"Verb -- Common reading: おもう<br/>Appears 6 times<br/>Word has 7 distinct definitions<br/>おもう<br/>to think, to consider, to believe, to reckon, <br/>おもう<br/>to think (of doing), to plan (to do), <br/>おもう<br/>to judge, to assess, to regard, "
行く,"Verb -- Common reading: いく<br/>Appears 4 times<br/>Word has 18 distinct definitions<br/>いく<br/>to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach, <br/>いく<br/>to proceed, to take place, <br/>いく<br/>to pass through, to come and go, "
会う,"Verb -- Common reading: あう<br/>Appears 4 times<br/>Word has 2 distinct definitions<br/>あう<br/>to meet, to encounter, to see, <br/>あう<br/>to have an accident, to have a bad experience, "
違う,"Verb -- Common reading: ちがう<br/>Appears 4 times<br/>Word has 8 distinct definitions<br/>ちがう<br/>to differ (from), to vary, <br/>ちがう<br/>to not be in the usual condition, <br/>ちがう<br/>to not match the correct (answer, etc.), "
食べる,"Verb -- Common reading: たべる<br/>Appears 3 times<br/>Word has 2 distinct definitions<br/>たべる<br/>to eat, <br/>たべる<br/>to live on (e.g. a salary), to live off, to subsist on, "
考える,"Verb -- Common reading: かんがえる<br/>Appears 3 times<br/>Word has 7 distinct definitions<br/>かんがえる<br/>to think (about, of), to think over, to ponder, to contemplate, to reflect (on), to meditate (on), <br/>かんがえる<br/>to consider, to bear in mind, to allow for, to take into consideration, <br/>かんがえる<br/>to think (that), to believe, to hold (a view), to judge, to conclude, to suspect, "
見る,"Verb -- Common reading: みる<br/>Appears 3 times<br/>Word has 6 distinct definitions<br/>みる<br/>to see, to look, to watch, to view, to observe, <br/>みる<br/>to examine, to look over, to assess, to check, to judge, <br/>みる<br/>to look after, to attend to, to take care of, to keep an eye on, "
入る,"Verb -- Common reading: いる<br/>Appears 3 times<br/>Word has 8 distinct definitions<br/>いる<br/>to get in, to go in, to come in, to flow into, to set, to set in, <br/>はいる<br/>to enter, to go into, <br/>はいる<br/>to break into, "
